Time , 13:42:36,  [Data], ISDN 0
Time , 13:42:37,  [Data], VOL 0
Time , 13:42:38,  [Data], DPM 0
Time , 13:42:38,  [Data], NEP 0
Time , 13:42:38,  [Data], ISDN 0
Time , 13:42:39,  [Data], VOL 0
Time , 13:42:40,  [Data], DPM 0
Time , 13:42:40,  [Data], NEP 0
Time , 13:42:40,  [Data], ISDN 0
Time , 13:42:41,  [Data], VOL 0
Time , 13:42:42,  [Data], DPM 0
Time , 13:42:42,  [Data], NEP 0
Time , 13:42:42,  [Data], ISDN 0
Time , 13:42:43,  [Data], VOL 0
Time , 13:42:44,  [Data], DPM 0
Time , 13:42:44,  [Data], NEP 0
Time , 13:42:44,  [Data], ISDN 0
Time , 13:42:45,  [Data], VOL 0
Time , 13:42:46,  [Data], DPM 0
Time , 13:42:46,  [Data], NEP 0
Time , 13:42:46,  [Data], ISDN 0
Time , 13:42:47,  [Data], VOL 0
Time , 13:42:48,  [Data], DPM 0
Time , 13:42:48,  [Data], NEP 0
Time , 13:42:48,  [Data], ISDN 0
Time , 13:42:49,  [Data], VOL 0
Time , 13:42:50,  [Data], DPM 0
Time , 13:42:50,  [Data], NEP 0
Time , 13:42:50,  [Data], ISDN 0
Time , 13:42:51,  [Data], VOL 0
Time , 13:42:52,  [Data], DPM 0
Time , 13:42:52,  [Data], NEP 0
Time , 13:42:52,  [Data], ISDN 0
Time , 13:42:53,  [Data], VOL 0
Time , 13:42:54,  [Data], DPM 0
Time , 13:42:54,  [Data], NEP 0
Time , 13:42:54,  [Data], ISDN 0
Time , 13:42:55,  [Data], VOL 0
Time , 13:42:56,  [Data], DPM 0
Time , 13:42:56,  [Data], NEP 0
Time , 13:42:56,  [Data], ISDN 0
Time , 13:42:57,  [Data], VOL 0
Time , 13:42:58,  [Data], DPM 0
Time , 13:42:58,  [Data], NEP 0
Time , 13:42:58,  [Data], ISDN 0
Time , 13:42:59,  [Data], VOL 0
Time , 13:43:00,  [Data], DPM 0
Time , 13:43:00,  [Data], NEP 0
Time , 13:43:00,  [Data], ISDN 0
Time , 13:43:01,  [Data], VOL 0
Time , 13:43:02,  [Data], DPM 0
Time , 13:43:02,  [Data], NEP 0
Time , 13:43:02,  [Data], ISDN 0
Time , 13:43:03,  [Data], VOL 0
Time , 13:43:04,  [Data], DPM 0
Time , 13:43:04,  [Data], NEP 0
Time , 13:43:04,  [Data], ISDN 0
Time , 13:43:05,  [Data], VOL 0
Time , 13:43:06,  [Data], DPM 0
Time , 13:43:06,  [Data], NEP 0
Time , 13:43:06,  [Data], ISDN 0
Time , 13:43:07,  [Data], VOL 0
Time , 13:43:08,  [Data], DPM 0
Time , 13:43:08,  [Data], NEP 0
Time , 13:43:08,  [Data], ISDN 0
Time , 13:43:09,  [Data], VOL 0
Time , 13:43:10,  [Data], DPM 0
Time , 13:43:10,  [Data], NEP 0
Time , 13:43:10,  [Data], ISDN 0
Time , 13:43:11,  [Data], VOL 0
Time , 13:43:12,  [Data], DPM 0
Time , 13:43:12,  [Data], NEP 0
Time , 13:43:12,  [Data], ISDN 0
Time , 13:43:13,  [Data], VOL 0
Time , 13:43:14,  [Data], DPM 0
Time , 13:43:14,  [Data], NEP 0
Time , 13:43:14,  [Data], ISDN 0
Time , 13:43:15,  [Data], VOL 0
Time , 13:43:16,  [Data], DPM 0
Time , 13:43:16,  [Data], NEP 0
Time , 13:43:16,  [Data], ISDN 0
Time , 13:43:17,  [Data], VOL 0
Time , 13:43:18,  [Data], DPM 0
Time , 13:43:18,  [Data], NEP 0
Time , 13:43:18,  [Data], ISDN 0
Time , 13:43:19,  [Data], VOL 0
Time , 13:43:20,  [Data], DPM 0
Time , 13:43:20,  [Data], NEP 0
Time , 13:43:20,  [Data], ISDN 0
Time , 13:43:21,  [Data], VOL 0
Time , 13:43:22,  [Data], DPM 0
Time , 13:43:22,  [Data], NEP 0
Time , 13:43:22,  [Data], ISDN 0
Time , 13:43:23,  [Data], VOL 0
Time , 13:43:24,  [Data], DPM 0
Time , 13:43:24,  [Data], NEP 0
Time , 13:43:24,  [Data], ISDN 0
Time , 13:43:25,  [Data], VOL 0
Time , 13:43:26,  [Data], DPM 0
Time , 13:43:26,  [Data], NEP 0
Time , 13:43:26,  [Data], ISDN 0
Time , 13:43:27,  [Data], VOL 0
Time , 13:43:28,  [Data], DPM 0
Time , 13:43:28,  [Data], NEP 0
Time , 13:43:28,  [Data], ISDN 0
Time , 13:43:29,  [Data], VOL 0
Time , 13:43:30,  [Data], DPM 0
Time , 13:43:30,  [Data], NEP 0
Time , 13:43:30,  [Data], ISDN 0
Time , 13:43:31,  [Data], VOL 0
Time , 13:43:32,  [Data], DPM 0
Time , 13:43:32,  [Data], NEP 0
Time , 13:43:32,  [Data], ISDN 0
Time , 13:43:33,  [Data], VOL 0
Time , 13:43:34,  [Data], DPM 0
Time , 13:43:34,  [Data], NEP 0
Time , 13:43:34,  [Data], ISDN 0
Time , 13:43:35,  [Data], VOL 0
Time , 13:43:36,  [Data], DPM 0
Time , 13:43:36,  [Data], NEP 0
Time , 13:43:36,  [Data], ISDN 0
Time , 13:43:37,  [Data], VOL 0
Time , 13:43:38,  [Data], DPM 0
Time , 13:43:38,  [Data], NEP 0
Time , 13:43:38,  [Data], ISDN 0
Time , 13:43:39,  [Data], VOL 0
Time , 13:43:40,  [Data], DPM 0
Time , 13:43:40,  [Data], NEP 0
Time , 13:43:40,  [Data], ISDN 0
Time , 13:43:41,  [Data], VOL 0
Time , 13:43:42,  [Data], DPM 0
Time , 13:43:42,  [Data], NEP 0
Time , 13:43:42,  [Data], ISDN 0
Time , 13:43:44,  [Data], VOL 0
Time , 13:43:44,  [Data], DPM 0
Time , 13:43:44,  [Data], NEP 0
Time , 13:43:44,  [Data], ISDN 0
Time , 13:43:45,  [Data], VOL 0
Time , 13:43:46,  [Data], DPM 0
Time , 13:43:46,  [Data], NEP 0
Time , 13:43:46,  [Data], ISDN 0
Time , 13:43:48,  [Data], VOL 0
Time , 13:43:48,  [Data], DPM 0
Time , 13:43:48,  [Data], NEP 0
Time , 13:43:48,  [Data], ISDN 0
Time , 13:43:49,  [Data], VOL 0
Time , 13:43:50,  [Data], DPM 0
Time , 13:43:50,  [Data], NEP 0
Time , 13:43:50,  [Data], ISDN 0
Time , 13:43:51,  [Data], VOL 0
Time , 13:43:52,  [Data], DPM 0
Time , 13:43:52,  [Data], NEP 0
Time , 13:43:52,  [Data], ISDN 0
Time , 13:43:53,  [Data], VOL 0
Time , 13:43:54,  [Data], DPM 0
Time , 13:43:54,  [Data], NEP 0
Time , 13:43:54,  [Data], ISDN 0
Time , 13:43:55,  [Data], VOL 0
Time , 13:43:56,  [Data], DPM 0
Time , 13:43:56,  [Data], NEP 0
Time , 13:43:56,  [Data], ISDN 0
Time , 13:43:58,  [Data], VOL 0
Time , 13:43:58,  [Data], DPM 0
Time , 13:43:58,  [Data], NEP 0
Time , 13:43:58,  [Data], ISDN 0
Time , 13:44:00,  [Data], VOL 0
Time , 13:44:00,  [Data], DPM 0
Time , 13:44:00,  [Data], NEP 0
Time , 13:44:00,  [Data], ISDN 0
Time , 13:44:02,  [Data], VOL 0
Time , 13:44:02,  [Data], DPM 0
Time , 13:44:02,  [Data], NEP 0
Time , 13:44:02,  [Data], ISDN 0
Time , 13:44:03,  [Data], VOL 0
Time , 13:44:04,  [Data], DPM 0
Time , 13:44:04,  [Data], NEP 0
Time , 13:44:04,  [Data], ISDN 0
Time , 13:44:05,  [Data], VOL 0
Time , 13:44:06,  [Data], DPM 0
Time , 13:44:06,  [Data], NEP 0
Time , 13:44:06,  [Data], ISDN 0
Time , 13:44:08,  [Data], VOL 0
Time , 13:44:08,  [Data], DPM 0
Time , 13:44:08,  [Data], NEP 0
Time , 13:44:08,  [Data], ISDN 0
Time , 13:44:10,  [Data], VOL 0
Time , 13:44:10,  [Data], DPM 0
Time , 13:44:10,  [Data], NEP 0
Time , 13:44:10,  [Data], ISDN 0
Time , 13:44:12,  [Data], VOL 0
Time , 13:44:12,  [Data], DPM 0
Time , 13:44:12,  [Data], NEP 0
Time , 13:44:12,  [Data], ISDN 0
Time , 13:44:13,  [Data], VOL 0
Time , 13:44:14,  [Data], DPM 0
Time , 13:44:14,  [Data], NEP 0
Time , 13:44:14,  [Data], ISDN 0
