Time , 13:45:30,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:32,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:34,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:36,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:38,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:40,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:42,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:44,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:46,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:48,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:50,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:52,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:54,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:56,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:45:58,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:00,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:02,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:04,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:06,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:08,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:10,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:12,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:14,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:16,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:18,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:20,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:22,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:24,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:26,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:28,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:30,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:32,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:34,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:36,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:38,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:40,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:42,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:44,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:46,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:48,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
